annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2022;75;Nouvelle-Aquitaine;Production thermique (GWh);1026.0;Thermique;1026000.0;Non-Renouvelable
2015;84;Auvergne-Rhône-Alpes;Production thermique (GWh);2019.0;Thermique;2019000.0;Non-Renouvelable
2017;84;Auvergne-Rhône-Alpes;Production thermique (GWh);2384.0;Thermique;2384000.0;Non-Renouvelable
2020;84;Auvergne-Rhône-Alpes;Production thermique (GWh);2494.0;Thermique;2494000.0;Non-Renouvelable
2015;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);5239.0;Thermique;5239000.0;Non-Renouvelable
2016;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);9008.0;Thermique;9008000.0;Non-Renouvelable
2018;94;Corse;Production thermique (GWh);819.0;Thermique;819000.0;Non-Renouvelable
2022;94;Corse;Production thermique (GWh);1114.0;Thermique;1114000.0;Non-Renouvelable
2015;11;Île-de-France;Production thermique (GWh);2384.0;Thermique;2384000.0;Non-Renouvelable
2022;11;Île-de-France;Production thermique (GWh);2132.0;Thermique;2132000.0;Non-Renouvelable
2019;24;Centre-Val de Loire;Production thermique (GWh);420.0;Thermique;420000.0;Non-Renouvelable
2016;27;Bourgogne-Franche-Comté;Production thermique (GWh);648.0;Thermique;648000.0;Non-Renouvelable
2018;27;Bourgogne-Franche-Comté;Production thermique (GWh);735.0;Thermique;735000.0;Non-Renouvelable
2020;27;Bourgogne-Franche-Comté;Production thermique (GWh);741.0;Thermique;741000.0;Non-Renouvelable
2022;27;Bourgogne-Franche-Comté;Production thermique (GWh);620.0;Thermique;620000.0;Non-Renouvelable
2021;28;Normandie;Production thermique (GWh);2753.0;Thermique;2753000.0;Non-Renouvelable
2024;28;Normandie;Production thermique (GWh);2132.0;Thermique;2132000.0;Non-Renouvelable
2015;32;Hauts-de-France;Production thermique (GWh);5318.0;Thermique;5318000.0;Non-Renouvelable
2015;44;Grand Est;Production thermique (GWh);7551.0;Thermique;7551000.0;Non-Renouvelable
2018;44;Grand Est;Production thermique (GWh);8643.0;Thermique;8643000.0;Non-Renouvelable
2024;44;Grand Est;Production thermique (GWh);3935.0;Thermique;3935000.0;Non-Renouvelable
2019;52;Pays de la Loire;Production thermique (GWh);3417.0;Thermique;3417000.0;Non-Renouvelable
2023;52;Pays de la Loire;Production thermique (GWh);1560.0;Thermique;1560000.0;Non-Renouvelable
